,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,set
1928,0.06733333333333334,-1.0406666666666666,-0.09333333333333334,1.7071999999999998,-2.7805999999999997,-2.8411999999999997,57
1929,0.055,-1.0594999999999999,-0.125,6.8048,-13.9268,3.7682,57
1930,0.03833333333333334,-1.1276666666666666,-0.06,3.378,8.4024,4.2924,57
1931,0.0285,-1.256,-0.0645,7.2682,-10.1586,4.182799999999999,57
1932,0.026,-1.2263333333333335,-0.05933333333333333,11.8172,-1.0122,2.0732,57
1933,0.0019999999999999996,-1.0505,0.007499999999999998,38.4268,-3.5489999999999995,-3.0242,57
1934,0.033666666666666664,-0.6213333333333333,0.08633333333333333,57.2072,2.3537999999999997,5.805000000000001,57
1935,0.0165,-0.8089999999999999,0.3565,6.8538,7.0976,5.3536,57
1936,-0.007666666666666666,-0.9683333333333333,0.33899999999999997,-14.89,-3.3903999999999996,-2.6342,57
1937,-0.015,-0.755,0.16949999999999998,-39.8778,-2.0854,-6.7316,57
1938,0.024333333333333332,-0.8686666666666666,0.06233333333333333,-36.1952,-3.7076000000000002,0.317,57
1939,0.026,-0.9984999999999999,-0.002,-20.8168,-2.0364,-0.5734000000000001,57
1940,0.028666666666666663,-1.2046666666666666,-0.09400000000000001,-6.329,-4.8048,-1.3536000000000001,57
1941,0.0075,-1.3094999999999999,-0.168,-0.7562,1.6461999999999999,-5.3536,57
1942,0.07933333333333333,-1.0679999999999998,-0.061,-3.561,8.5486,6.4510000000000005,57
1943,0.0245,-1.0375,-0.105,1.829,-1.5124,-1.1949999999999998,57
1944,0.041666666666666664,-1.0393333333333332,-0.06666666666666667,6.0974,-14.5364,-2.1832,57
1945,0.0575,-1.06,-0.1245,13.475400000000002,-12.2562,2.1827999999999994,57
1946,0.054,-1.228,-0.038,2.8782000000000005,-3.9024,3.4144000000000005,57
1947,0.009,-1.244,-0.0355,4.3536,4.549,3.5854,57
1948,0.0029999999999999988,-1.1386666666666667,-0.020666666666666667,24.415,-1.7314,2.8902,57
1949,0.014499999999999999,-0.79,0.051000000000000004,55.31699999999999,-6.2316,-2.0976,57
1950,0.042,-0.6406666666666666,0.22733333333333336,37.6342,3.0122,5.6096,57
1951,-0.015499999999999998,-1.0514999999999999,0.371,-5.0734,3.7196,-2.9144,57
1952,0.0016666666666666668,-0.8213333333333334,0.2836666666666667,-29.877999999999997,0.9878000000000002,-3.1586,57
1953,0.027999999999999997,-0.8200000000000001,0.154,-48.2926,1.6830000000000003,1.6832,57
1954,0.01833333333333333,-0.9473333333333334,0.002333333333333331,-30.1826,-7.4268,1.2318,57
1955,-0.017,-1.0659999999999998,-0.041999999999999996,-9.695400000000001,-2.7562,0.7559999999999997,57
1956,0.015,-1.1820000000000002,-0.08033333333333333,-5.0852,2.9632000000000005,-13.9024,57
1957,0.0675,-1.343,-0.08800000000000001,4.366,4.5854,-0.5976000000000002,57
1958,0.05333333333333334,-1.0346666666666666,-0.055333333333333325,-0.9146000000000001,6.085399999999999,8.6828,57
1959,0.0155,-0.9884999999999999,-0.045,-0.7560000000000002,22.1586,0.13419999999999987,57
1960,0.06266666666666666,-1.0706666666666667,-0.09366666666666668,8.7562,-12.049,-0.3538000000000002,57
1961,0.031,-1.092,-0.07300000000000001,9.0856,-8.2806,0.6462,57
1962,0.051333333333333335,-1.227,-0.021333333333333333,12.3168,-16.622,0.8048,57
1963,0.037,-1.2225000000000001,0.0065,2.7806,-4.8536,2.7074,57
1964,0.019333333333333334,-1.1196666666666666,0.007666666666666666,18.9024,-1.5852,1.4514,57
1965,0.0345,-0.784,0.062,59.6952,-4.9878,2.561,57
1966,0.04033333333333333,-0.646,0.2353333333333333,36.4998,8.061,9.0734,57
1967,-0.018500000000000003,-1.044,0.41200000000000003,-6.817,-1.0856,-2.0363999999999995,57
1968,0.0019999999999999996,-0.894,0.3353333333333333,-21.122,-8.5488,-0.8901999999999999,57
1969,0.014,-0.7145,0.201,-44.9024,-6.0489999999999995,-7.8172,57
1970,0.067,-0.76,0.108,-40.061,-19.756,-3.293,57
1971,0.034,-1.1885,-0.1335,3.2116666666666664,-0.46766666666666623,4.695,57
1972,0.041499999999999995,-1.3265,-0.0595,3.7074,-4.3048,0.43920000000000003,57
1973,0.02666666666666667,-1.1903333333333332,-0.059666666666666666,11.6464,-2.1706,6.4510000000000005,57
1974,-0.013,-0.9805,-0.031,59.927,-10.7196,-0.7682,57
1975,0.030666666666666665,-0.602,0.11,57.1706,-1.5732000000000006,4.9634,57
1976,-0.0014999999999999996,-0.8905000000000001,0.42000000000000004,-0.744,4.3414,2.0,57
1977,-0.014666666666666668,-0.9023333333333333,0.336,-32.9024,1.2684000000000002,-4.9268,57
1978,0.006,-0.7735000000000001,0.16899999999999998,-50.9146,-5.4878,-4.146199999999999,57
1979,0.020666666666666667,-0.867,0.055333333333333325,-21.3412,-17.9268,-0.817,57
1980,0.019,-1.0594999999999999,-0.0019999999999999983,-4.0612,-5.0732,1.195,57
1981,0.03,-1.246,-0.0029999999999999996,-9.6586,11.4146,-6.0976,57
1982,0.039,-1.3375,-0.1055,-19.0,18.5,-3.8293999999999997,57
1983,0.08166666666666667,-1.006,-0.09466666666666666,-15.7196,24.2926,13.6952,57
1984,0.0335,-1.052,-0.185,-0.060800000000000055,-4.8294,7.3172,57
