,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,label
1680,0.12066666666666666,0.8330000000000001,0.843,7.7074,-5.817,-5.6706,squat
6378,-0.04633333333333334,1.0810000000000002,-0.15066666666666667,-3.9391999999999996,-3.6586,-19.8902,bench
633,-0.07,0.988,0.015,4.1706,0.378,6.1098,ohp
3139,0.057499999999999996,-0.4275,0.23249999999999998,-4.8538,2.7803999999999998,8.2316,row
6800,-0.006,0.96,-0.15000000000000002,0.5,-0.26820000000000005,-2.1462,bench
2177,0.020666666666666667,-1.0193333333333332,-0.007,-8.3536,-1.3416000000000001,-0.744,dead
1261,-0.4245,1.4184999999999999,-0.28900000000000003,40.7438,51.29259999999999,-11.061,ohp
118,-0.16649999999999998,1.423,-0.14500000000000002,-12.7924,0.2562000000000005,-8.0,bench
6568,0.006333333333333332,0.7046666666666667,-0.11033333333333334,-0.40220000000000056,-10.7318,3.4265999999999996,bench
5458,0.27466666666666667,0.684,0.798,19.5122,1.3782,6.0366,squat
5737,0.223,-1.2073333333333334,-0.06066666666666667,-2.4512,6.353800000000001,13.487799999999998,dead
2748,-0.3113333333333333,0.9663333333333334,-0.14933333333333335,-31.1464,-18.9024,32.183,ohp
3465,-0.358,0.779,-0.14600000000000002,7.1705999999999985,9.5854,-1.5244,ohp
4377,0.45,0.642,0.66,-19.1952,-0.7193999999999999,2.4026,squat
4664,-0.0125,-1.1625,-0.0745,-1.4268,-0.49980000000000013,-1.9514,dead
5955,0.06533333333333334,-1.172,-0.12933333333333333,2.0244000000000004,9.1464,4.8294,dead
6048,0.1315,0.871,0.681,9.0608,-2.2561999999999998,1.2071999999999998,squat
7476,-0.09933333333333333,1.2006666666666668,-0.17700000000000002,-4.6952,-10.0852,12.9636,bench
2288,-0.23299999999999998,0.8494999999999999,-0.4085,12.7074,-8.5976,2.0366,bench
3662,-0.013,-1.4495,-0.075,40.5488,-17.2682,-25.0366,row
5324,0.078,-1.0395,-0.0625,3.6340000000000003,-3.3902,7.9510000000000005,row
6599,0.032,0.9764999999999999,-0.0555,1.9636,-0.6952,0.1464,bench
7468,-0.11733333333333333,0.9876666666666667,-0.19366666666666665,-35.3902,2.488,25.7318,bench
2471,-0.1345,0.921,-0.14950000000000002,15.097399999999999,-9.183,-5.0488,bench
1172,-0.2253333333333333,1.1953333333333334,-0.118,-14.243800000000002,-10.7316,50.7558,ohp
7250,-0.018666666666666668,-1.0203333333333333,-0.081,3.2438000000000002,-5.0,0.9024000000000001,row
4055,0.15366666666666665,0.5713333333333334,0.607,-6.1706,-3.9636000000000005,1.4998,squat
7533,0.0095,0.921,-0.158,3.2804,-2.1586,-5.549,bench
8933,-0.05533333333333334,-1.0566666666666666,-0.052333333333333336,5.6464,2.9146,1.4024,row
7082,0.19899999999999998,-0.9173333333333332,0.539,-5.3778,36.9878,-22.9024,rest
92,-0.1565,1.323,-0.139,-4.4878,8.3172,-20.4146,bench
3666,0.0915,-1.0979999999999999,0.1545,-47.6218,12.8172,27.719600000000003,row
4080,0.2185,0.5845,0.915,9.4024,-6.4514,-5.4266,squat
